Date,.RUA,ACWX.O,AGG
2008-05-08,809.822,54.282,102.19
2008-05-09,805.4623,54.24,102.23
2008-05-12,814.6601,54.814,102.05
2008-05-13,815.3038,54.7,101.47
2008-05-14,818.1676,54.72,101.62
2008-05-15,826.9865,55.462,102.16
2008-05-16,828.1473,56.213,101.91
2008-05-19,828.1773,56.4,102.08
2008-05-20,821.3908,55.7,102.3
2008-05-21,808.4081,55.09,102.16
2008-05-22,810.9044,55.52,101.55
2008-05-23,800.5976,54.957,101.94
2008-05-27,806.3708,54.47,101.37
2008-05-28,810.1531,54.46,100.9
2008-05-29,814.703,54.76,100.62
2008-05-30,816.805,54.87,100.98
2008-06-02,808.7324,54.7,100.96
2008-06-03,804.6331,54.325,101.15
2008-06-04,804.8021,53.905,100.79
2008-06-05,821.186,54.71,100.417
2008-06-06,796.6019,53.56,100.98
2008-06-09,796.4888,53.1,100.47
2008-06-10,793.9637,52.442,99.94
2008-06-11,780.4062,51.81,100.0701
2008-06-12,782.5959,51.62,99.45
2008-06-13,794.6805,52.0,99.2
2008-06-16,796.0959,52.53,99.31
2008-06-17,791.3612,52.83,99.65
2008-06-18,783.8563,52.372,100.07
2008-06-19,787.0255,52.13,99.56
2008-06-20,772.7264,50.98,99.865
2008-06-23,771.9865,50.93,99.73
2008-06-24,768.0509,50.65,99.932
2008-06-25,773.0615,51.25,99.9799
2008-06-26,750.862,50.23,100.11
2008-06-27,748.2861,50.3299,100.35
2008-06-30,748.0955,50.24,100.4
2008-07-01,750.4454,49.66,99.67
2008-07-02,735.1339,49.31,99.55
2008-07-03,734.0511,49.25,99.58
2008-07-07,727.501,48.68,99.925
2008-07-08,741.0256,49.39,100.3176
2008-07-09,724.6449,48.53,100.7065
2008-07-10,729.8902,48.556,100.8
2008-07-11,723.3488,48.254,100.23
2008-07-14,716.7039,48.34,100.38
2008-07-15,709.3112,47.839,100.77
2008-07-16,727.4785,47.948,100.0
2008-07-17,735.8499,48.79,99.56
2008-07-18,735.5797,48.82,98.98
2008-07-21,736.6581,49.21,99.38
2008-07-22,746.7841,49.27,99.16
2008-07-23,749.2236,49.41,99.28
2008-07-24,731.207,48.44,99.97
2008-07-25,735.1283,48.38,99.46
2008-07-28,722.0237,47.907,99.91
2008-07-29,738.8206,48.17,99.79
2008-07-30,750.4344,48.63,99.9
2008-07-31,741.1173,48.33,100.41
2008-08-01,737.5555,47.692,99.89
2008-08-04,729.0838,47.11,99.6
2008-08-05,748.7935,47.62,99.43
2008-08-06,752.1807,47.95,99.32
2008-08-07,739.1453,47.13,99.84
2008-08-08,756.3441,47.1,99.69
2008-08-11,762.5642,47.018,99.44
2008-08-12,753.948,46.5,99.86
2008-08-13,752.9351,46.26,99.69
2008-08-14,757.5094,46.1,99.93
2008-08-15,759.8217,45.72,100.2201
2008-08-18,748.5628,45.276,100.39
2008-08-19,741.2858,44.73,100.31
2008-08-20,745.6502,45.0,100.47
2008-08-21,746.8075,45.53,100.49
2008-08-22,755.3052,45.38,100.3799
2008-08-25,740.4023,44.67,100.69
2008-08-26,743.2021,45.01,100.57
2008-08-27,749.7073,45.5,100.69
2008-08-28,760.9393,45.99,100.78
2008-08-29,751.1283,45.952,100.75
2008-09-02,747.2846,44.98,100.69
2008-09-03,745.2589,44.712,100.67
2008-09-04,723.2843,42.98,101.04
2008-09-05,726.3031,42.73,100.74
2008-09-08,739.7076,43.55,101.37
2008-09-09,713.683,41.82,101.82
2008-09-10,719.149,42.35,101.75
2008-09-11,727.7879,41.642,101.62
2008-09-12,730.4253,42.894,101.21
2008-09-15,696.3073,40.832,101.61
2008-09-16,709.0556,40.5,100.58
2008-09-17,675.828,39.11,100.83
2008-09-18,706.5228,40.8301,100.55
2008-09-19,735.8479,43.59,101.0
2008-09-22,706.7111,42.93,99.42
2008-09-23,695.8986,42.04,99.268
2008-09-24,693.2394,42.25,99.39
2008-09-25,705.5573,43.07,99.21
2008-09-26,706.5029,42.55,98.71
2008-09-29,646.2374,38.1,98.26
2008-09-30,679.2518,39.91,98.59
2008-10-01,675.1751,39.69,97.5
2008-10-02,645.633,37.72,97.88
2008-10-03,635.4317,37.386,98.62
2008-10-06,610.1514,35.02,98.65
2008-10-07,575.0245,33.19,96.61
2008-10-08,568.1437,32.65,94.67
2008-10-09,524.8726,30.424,94.89
2008-10-10,520.972,29.876,88.4
2008-10-13,580.7537,34.39,91.82
2008-10-14,575.335,33.57,93.75
2008-10-15,522.7339,29.91,95.25
2008-10-16,545.5744,31.3306,93.754
2008-10-17,542.5525,31.04,94.09
2008-10-20,567.8424,32.601,95.77
2008-10-21,550.5891,30.88,96.61
2008-10-22,517.1872,28.5,97.73
2008-10-23,520.1209,28.3,96.01
2008-10-24,502.318,27.09,95.2
2008-10-27,485.2477,25.54,94.25
2008-10-28,534.943,28.6,94.58
2008-10-29,532.292,29.26,96.38
2008-10-30,547.7894,30.49,96.26
2008-10-31,557.8383,30.73,95.959999
2008-12-01,464.6912,26.5,99.43
2008-12-02,483.9928,27.4,99.53
2008-12-03,496.5783,27.67,99.54
2008-12-04,481.6312,26.64,99.87
2008-12-05,499.9389,27.24,99.32
2008-12-08,519.581,28.69,99.191
2008-12-09,507.3354,28.46,100.12
2008-12-10,514.5426,29.38,99.94
2008-12-11,498.3202,29.35,100.46
2008-12-12,503.8976,29.5,100.49
2008-12-15,496.3224,29.48,100.73
2008-12-16,522.6219,31.0,101.13
2008-12-17,519.3579,30.91,101.67
2008-12-18,508.5892,30.03,102.31
2008-12-19,510.7964,29.62,101.98
2008-12-22,500.98,29.39,102.53
2008-12-23,496.2466,29.0,103.53
2008-12-24,498.8584,29.18,104.02
2008-12-26,502.2187,29.49,103.67
2008-12-29,499.1292,29.64,104.09
2008-12-30,511.986,30.35,104.128
2008-12-31,520.6034,30.72,104.2
2009-01-02,536.2596,31.21,103.55
2009-01-05,534.4344,31.17,105.2
2009-01-06,539.7769,31.57,104.61
2009-01-07,523.3657,30.76,103.65
2009-01-08,525.8825,31.01,102.86
2009-01-09,513.9039,30.1,102.51
2009-01-12,501.6122,29.2,103.05
2009-01-13,503.2347,28.57,103.22
2009-01-14,485.6786,27.41,103.08
2009-01-15,487.7114,27.76,103.07
2009-01-16,491.7973,27.81,103.6
2009-01-20,464.7284,25.76,103.06
2009-01-21,485.2141,27.13,102.52
2009-01-22,476.8256,26.34,102.08
2009-01-23,479.609,26.21,101.92
2009-01-26,482.4108,26.66,101.82
2009-01-27,487.7178,27.33,102.34
2009-01-28,504.4203,28.25,102.4
2009-01-29,487.3312,26.96,101.49
2009-01-30,476.2616,26.6,102.13
2009-02-02,476.6381,26.432,101.59
2009-02-03,483.5673,27.19,101.14
2009-02-04,480.2827,27.07,101.0
2009-02-05,488.1581,27.53,100.68
2009-02-06,501.9794,28.31,100.95
2009-02-09,502.3384,28.344,100.96
2009-02-10,478.1647,26.83,101.58
2009-02-11,481.5372,27.2,101.56
2009-02-12,482.8046,27.02,102.099998
2009-02-13,478.3328,26.78,101.79
2009-02-17,456.6489,25.28,101.87
2009-02-18,455.408,25.18,101.66
2009-02-19,449.7029,25.1,101.5
2009-02-20,444.731,24.65,100.98
2009-02-23,428.9058,23.84,101.5
2009-02-24,446.4474,24.79,101.3
2009-02-25,441.1334,24.264,101.21
2009-02-26,433.9609,24.14,100.68
2009-02-27,424.8825,24.04,100.69
2009-03-02,404.2591,22.66,100.7
2009-03-03,401.4369,22.67,100.57
2009-03-04,411.3588,23.613,100.1
2009-03-05,393.3441,22.69,100.43
2009-03-06,393.8528,22.73,100.7
2009-03-09,389.6149,22.23,100.01
2009-03-10,414.6874,23.64,100.24
2009-03-11,415.619,23.83,100.48
